AAPT1 LOC108807389
LOC103827542 LOC108830438
LOC103827543 LOC108831274
LOC103827544 LOC108831273
LOC103827545 LOC108830437
LOC103827546 LOC108830430
LOC103827547 LOC108830440
LOC103827548 LOC108830435
LOC103827550 LOC108849125
LOC103827551 LOC108849273
LOC103827552 LOC108852454
LOC103827553 LOC108853424
LOC103827554 LOC108818256
LOC103827555 LOC108853182
LOC103827556 LOC108835649
LOC103827557 LOC108854326
LOC103827558 LOC108805787
LOC103827559 LOC108855885
LOC103827560 LOC108855898
LOC103827561 LOC108855365
LOC103827562 LOC108848787
LOC103827563 LOC108848829
LOC103827566 LOC108855755
LOC103827567 LOC108852464
LOC103827568 LOC108854736
LOC103827569 LOC108854735
LOC103827570 LOC108852863
LOC103827572 LOC108854826
LOC103827575 LOC108852262
LOC103827576 LOC108852263
LOC103827578 LOC108849859
LOC103827579 LOC108849824
LOC103827582 LOC108852363
LOC103827583 LOC108849188
LOC103827584 LOC108853049
LOC103827587 LOC108851317
LOC103827588 LOC108855114
LOC103827589 LOC108812284
LOC103827591 LOC108854030
LOC103827592 LOC108809999
LOC103827593 LOC108838935
LOC103827594 LOC108812425
LOC103827595 LOC108812430
LOC103827596 LOC108812491
LOC103827597 LOC108812489
LOC103827598 LOC108806687
LOC103827599 LOC108806686
LOC103827601 LOC108813655
LOC103827602 LOC108813654
LOC103827603 LOC108832693
LOC103827604 LOC108813305
LOC103827605 LOC108813304
LOC103827606 LOC108812770
LOC103827609 LOC108811679
LOC103827610 LOC108811682
LOC103827611 LOC108811680
LOC103827612 LOC108811678
LOC103827614 LOC108812767
LOC103827615 LOC108808824
LOC103827616 LOC108812175
LOC103827617 LOC108812173
LOC103827618 LOC108812176
LOC103827620 LOC108813247
LOC103827621 LOC108813246
LOC103827622 LOC108848380
LOC103827623 LOC108848379
LOC103827624 LOC108836827
LOC103827627 LOC108806767
LOC103827630 LOC108832807
LOC103827632 LOC108820817
LOC103827633 LOC108852148
LOC103827634 LOC108852777
LOC103827635 LOC108853357
LOC103827636 LOC108852405
LOC103827637 LOC108849444
LOC103827638 LOC108855696
LOC103827640 LOC108848532
LOC103827642 LOC108821599
LOC103827643 LOC108853799
LOC103827644 LOC108849547
LOC103827645 LOC108854475
LOC103827646 LOC108853351
LOC103827648 LOC108855695
LOC103827649 LOC108855694
LOC103827651 LOC108855693
LOC103827652 LOC108832132
LOC103827653 LOC108848818
LOC103827654 LOC108832136
LOC103827655 LOC108843421
LOC103827657 LOC108835221
LOC103827658 LOC108848576
LOC103827659 LOC108849135
LOC103827660 LOC108825080
LOC103827661 LOC108848564
LOC103827662 LOC108849021
LOC103827663 LOC108849130
LOC103827664 LOC108849398
LOC103827665 LOC108843598
LOC103827666 LOC108852305
LOC103827667 LOC108849606
LOC103827669 LOC108848456
LOC103827671 LOC108841228
LOC103827672 LOC108851670
LOC103827673 LOC108849095
LOC103827674 LOC108854916
LOC103827675 LOC108848260
LOC103827676 LOC108854068
LOC103827677 LOC108854066
LOC103827678 LOC108852774
LOC103827680 LOC108835483
LOC103827683 LOC108852856
LOC103827684 LOC108855895
LOC103827691 LOC108853963
LOC103827692 LOC108840879
LOC103827695 LOC108855322
LOC103827697 LOC108851954
LOC103827698 LOC108855625
LOC103827699 LOC108855624
LOC103827700 LOC108855793
LOC103827701 LOC108841546
LOC103827702 LOC108842899
LOC103827703 LOC108850404
LOC103827704 LOC108849484
LOC103827706 LOC108849592
LOC103827707 LOC108848847
LOC103827710 LOC108851318
LOC103827712 LOC108833217
LOC103827715 LOC108852743
LOC103827716 LOC108855644
LOC103827718 LOC108851411
LOC103827719 LOC108842898
LOC103827720 LOC108838501
LOC103827723 LOC108852042
LOC103827724 LOC108832586
LOC103827726 LOC108832583
LOC103827727 LOC108855563
LOC103827728 LOC108854125
LOC103827729 LOC108835746
LOC103827730 LOC108825932
LOC103827731 LOC108855001
LOC103827732 LOC108849308
LOC103827733 LOC108854420
LOC103827734 LOC108854421
LOC103827735 LOC108855668
LOC103827738 LOC108851652
LOC103827739 LOC108852827
LOC103827740 LOC108855705
LOC103827741 LOC108833607
LOC103827742 LOC108848263
LOC103827743 LOC108849622
LOC103827744 LOC108853248
LOC103827745 LOC108820959
LOC103827746 LOC108851947
LOC103827748 LOC108832695
LOC103827749 LOC108853924
LOC103827750 LOC108855731
LOC103827753 LOC108854592
LOC103827754 LOC108840806
LOC103827755 LOC108854594
LOC103827756 LOC108831047
LOC103827757 LOC108831049
LOC103827758 LOC108832320
LOC103827759 LOC108854555
LOC103827760 LOC108854556
LOC103827761 LOC108831550
LOC103827763 LOC108816646
LOC103827764 LOC108815934
LOC103827765 LOC108852893
LOC103827766 LOC108854167
LOC103827767 LOC108830515
LOC103827768 LOC108853288
LOC103827770 LOC108838136
LOC103827771 LOC108855385
LOC103827772 LOC108849044
LOC103827773 LOC108805986
LOC103827775 LOC108852606
LOC103827776 LOC108849325
LOC103827778 LOC108848608
LOC103827779 LOC108841106
LOC103827780 LOC108831945
LOC103827781 LOC108851603
LOC103827782 LOC108853336
LOC103827783 LOC108832630
LOC103827784 LOC108848883
LOC103827785 LOC108849041
LOC103827786 LOC108848838
LOC103827787 LOC108848543
LOC103827788 LOC108841941
LOC103827789 LOC108851957
LOC103827790 LOC108851533
LOC103827791 LOC108848569
LOC103827792 LOC108848896
LOC103827793 LOC108855174
LOC103827797 LOC108854323
LOC103827798 LOC108843170
LOC103827801 LOC108854324
LOC103827802 LOC108855687
LOC103827803 LOC108849297
LOC103827804 LOC108848761
LOC103827805 LOC108848823
LOC103827807 LOC108852014
LOC103827808 LOC108848251
LOC103827809 LOC108811247
LOC103827810 LOC108848996
LOC103827811 LOC108854668
LOC103827812 LOC108854998
LOC103827813 LOC108854997
LOC103827814 LOC108855692
LOC103827815 LOC108849014
LOC103827816 LOC108854785
LOC103827817 LOC108854786
LOC103827818 LOC108849576
LOC103827820 LOC108848574
LOC103827821 LOC108822967
LOC103827822 LOC108848674
LOC103827823 LOC108853340
LOC103827824 LOC108851692
LOC103827825 LOC108852759
LOC103827826 LOC108854509
LOC103827828 LOC108849174
LOC103827829 LOC108848727
LOC103827830 LOC108848559
LOC103827832 LOC108848997
LOC103827834 LOC108854717
LOC103827835 LOC108854715
LOC103827836 LOC108839261
LOC103827838 LOC108854718
LOC103827839 LOC108853090
LOC103827840 LOC108850373
LOC103827844 LOC108850380
LOC103827854 LOC108852672
LOC103827855 LOC108824375
LOC103827858 LOC108852701
LOC103827861 LOC108808823
LOC103827862 LOC108854953
LOC103827863 LOC108851896
LOC103827864 LOC108853061
LOC103827866 LOC108843152
LOC103827871 LOC108850410
LOC103827874 LOC108840853
LOC103827881 LOC108831148
LOC103827882 LOC108855276
LOC103827883 LOC108848488
LOC103827884 LOC108848487
LOC103827885 LOC108855922
LOC103827886 LOC108832746
LOC103827888 LOC108848575
LOC103827890 LOC108851718
LOC103827891 LOC108851723
LOC103827892 LOC108848661
LOC103827893 LOC108848663
LOC103827896 LOC108852535
LOC103827897 LOC108852162
LOC103827898 LOC108853299
LOC103827900 LOC108853298
LOC103827901 LOC108835409
LOC103827902 LOC108853482
LOC103827903 LOC108848602
LOC103827905 LOC108849396
LOC103827906 LOC108848948
LOC103827907 LOC108821407
LOC103827909 LOC108854706
LOC103827910 LOC108854705
LOC103827911 LOC108855017
LOC103827912 LOC108850485
LOC103827916 LOC108851454
LOC103827917 LOC108852839
LOC103827918 LOC108849052
LOC103827919 LOC108837699
LOC103827920 LOC108838199
LOC103827922 LOC108849226
LOC103827923 LOC108854434
LOC103827924 LOC108849836
LOC103827925 LOC108852232
LOC103827926 LOC108855533
LOC103827927 LOC108855532
LOC103827928 LOC108848757
LOC103827929 LOC108855485
LOC103827931 LOC108854563
LOC103827933 LOC108854562
LOC103827934 LOC108848913
LOC103827935 LOC108851755
LOC103827936 LOC108854979
LOC103827937 LOC108854978
LOC103827938 LOC108849236
LOC103827940 LOC108855927
LOC103827941 LOC108841049
LOC103827942 LOC108855799
LOC103827943 LOC108852027
LOC103827944 LOC108854391
LOC103827945 LOC108852814
LOC103827947 LOC108848337
LOC103827948 LOC108848338
LOC103827949 LOC108855045
LOC103827950 LOC108816258
LOC103827952 LOC108838810
LOC103827953 LOC108854411
LOC103827954 LOC108854410
LOC103827956 LOC108854409
LOC103827959 LOC108827502
LOC103827960 LOC108848613
LOC103827961 LOC108851480
LOC103827962 LOC108848721
LOC103827963 LOC108838671
LOC103827964 LOC108848259
LOC103827965 LOC108848496
LOC103827967 LOC108853185
LOC103827969 LOC108824900
LOC103827970 LOC108850533
LOC103827971 LOC108851491
LOC103827972 LOC108848803
LOC103827973 LOC108853840
LOC103827974 LOC108849111
LOC103827975 LOC108849736
LOC103827977 LOC108842002
LOC103827978 LOC108849256
LOC103827980 LOC108854749
LOC103827981 LOC108853922
LOC103827982 LOC108853914
LOC103827983 LOC108851696
LOC103827985 LOC108851409
LOC103827989 LOC108850544
LOC103827990 LOC108851535
LOC103827991 LOC108851606
LOC103827992 LOC108855407
LOC103827993 LOC108853361
LOC103827994 LOC108855298
LOC103827995 LOC108853528
LOC103827997 LOC108855043
LOC103827998 LOC108855876
LOC103827999 LOC108840113
LOC103828000 LOC108831340
LOC103828001 LOC108831343
LOC103828002 LOC108848683
LOC103828003 LOC108849864
LOC103828005 LOC108852251
LOC103828006 LOC108849674
LOC103828007 LOC108853729
LOC103828008 LOC108851733
LOC103828010 LOC108848360
LOC103828011 LOC108855576
LOC103828012 LOC108849266
LOC103828013 LOC108827662
LOC103828015 LOC108854025
LOC103828016 LOC108849770
LOC103828017 LOC108855651
LOC103828018 LOC108855135
LOC103828019 LOC108828873
LOC103828020 LOC108855167
LOC103828021 LOC108854843
LOC103828022 LOC108849584
LOC103828023 LOC108822339
LOC103828025 LOC108852050
LOC103828026 LOC108853342
LOC103828027 LOC108853165
LOC103828029 LOC108830386
LOC103828032 LOC108839664
LOC103828033 LOC108830375
LOC103828034 LOC108830370
LOC103828035 LOC108848449
LOC103828037 LOC108828307
LOC103828038 LOC108831146
LOC103828039 LOC108855673
LOC103828040 LOC108855672
LOC103828042 LOC108848759
LOC103828048 LOC108854371
LOC103828052 LOC108848261
LOC103828053 LOC108853639
LOC103828055 LOC108855041
LOC103828058 LOC108855217
LOC103828059 LOC108855218
LOC103828060 LOC108854984
LOC103828061 LOC108854982
LOC103828063 LOC108855865
LOC103828064 LOC108855864
LOC103828065 LOC108854659
LOC103828066 LOC108849866
LOC103828067 LOC108852560
LOC103828068 LOC108854719
LOC103828069 LOC108854723
LOC103828070 LOC108841311
LOC103828071 LOC108854720
LOC103828072 LOC108854724
LOC103828073 LOC108854721
LOC103828075 LOC108852210
LOC103828077 LOC108851307
LOC103828078 LOC108851313
LOC103828081 LOC108851312
LOC103828082 LOC108849028
LOC103828083 LOC108852230
LOC103828084 LOC108853585
LOC103828085 LOC108853584
LOC103828086 LOC108851309
LOC103828087 LOC108851299
LOC103828088 LOC108851314
LOC103828089 LOC108839764
LOC103828090 LOC108851308
LOC103828091 LOC108851310
LOC103828092 LOC108851300
LOC103828094 LOC108851301
LOC103828095 LOC108851304
LOC103828096 LOC108851315
LOC103828097 LOC108851303
LOC103828098 LOC108851306
LOC103828100 LOC108851302
LOC103828101 LOC108848472
LOC103828102 LOC108848473
LOC103828103 LOC108848508
LOC103828104 LOC108849893
LOC103828105 LOC108854239
LOC103828106 LOC108817739
LOC103828107 LOC108818584
LOC103828108 LOC108848316
LOC103828109 LOC108848317
LOC103828110 LOC108854796
LOC103828111 LOC108819958
LOC103828112 LOC108854794
LOC103828113 LOC108854795
LOC103828114 LOC108842092
LOC103828122 LOC108852401
LOC103828125 LOC108841309
LOC103828126 LOC108852018
LOC103828127 LOC108850538
LOC103828139 LOC108813641
LOC103828140 LOC108813643
LOC103828141 LOC108840048
LOC103828142 LOC108813640
LOC103828144 LOC108810977
LOC103828147 LOC108806601
LOC103828148 LOC108812783
LOC103828149 LOC108806407
LOC103828151 LOC108811629
LOC103828153 LOC108810160
LOC103828156 LOC108807345
LOC103828160 LOC108807334
LOC103828165 LOC108812357
LOC103828166 LOC108812356
LOC103828167 LOC108812355
LOC103828168 LOC108806037
LOC103828169 LOC108812619
LOC103828170 LOC108812622
LOC103828172 LOC108812618
LOC103828173 LOC108812620
LOC103828174 LOC108812621
LOC103828175 LOC108812100
LOC103828176 LOC108812101
LOC103828177 LOC108810863
LOC103828178 LOC108812382
LOC103828180 LOC108812383
LOC103828181 LOC108837255
LOC103828182 LOC108833165
LOC103828183 LOC108807212
LOC103828184 LOC108812190
LOC103828185 LOC108812189
LOC103828187 LOC108806427
LOC103828188 LOC108813342
LOC103828190 LOC108806365
LOC103828191 LOC108807113
LOC103828192 LOC108859531
LOC103828193 LOC108860836
LOC103828197 LOC108806476
LOC103828198 LOC108826420
LOC103828199 LOC108812043
LOC103828201 LOC108809050
LOC103828203 LOC108812706
LOC103828204 LOC108812705
LOC103828205 LOC108812707
LOC103828206 LOC108805865
LOC103828207 LOC108806727
LOC103828208 LOC108807483
LOC103828210 LOC108806805
LOC103828213 LOC108812723
LOC103828214 LOC108812724
LOC103828218 LOC108809400
LOC103828219 LOC108810766
LOC103828220 LOC108813392
LOC103828223 LOC108809086
LOC103828224 LOC108807299
LOC103828225 LOC108809790
LOC103828226 LOC108813726
LOC103828228 LOC108811411
LOC103828229 LOC108811414
LOC103828231 LOC108811409
LOC103828232 LOC108811407
LOC103828233 LOC108834796
LOC103828234 LOC108811412
LOC103828238 LOC108810646
LOC103828246 LOC108813600
LOC103828249 LOC108812104
LOC103828256 LOC108850461
LOC103828258 LOC108807485
LOC103828261 LOC108811403
LOC103828262 LOC108810592
LOC103828263 LOC108813553
LOC103828265 LOC108816176
LOC103828268 LOC108833826
LOC103828269 LOC108822778
LOC103828270 LOC108822779
LOC103828272 LOC108813796
LOC103828273 LOC108813374
LOC103828275 LOC108810860
LOC103828276 LOC108805610
LOC103828278 LOC108807408
LOC103828279 LOC108807304
LOC103828281 LOC108806395
LOC103828282 LOC108809292
LOC103828286 LOC108812611
LOC103828287 LOC108812612
LOC103828289 LOC108836182
LOC103828290 LOC108808130
LOC103828293 LOC108831499
LOC103828297 LOC108806506
LOC103828298 LOC108837298
LOC103828302 LOC108808138
LOC103828303 LOC108811569
LOC103828304 LOC108812731
LOC103828305 LOC108812732
LOC103828306 LOC108809123
LOC103828319 LOC108813353
LOC103828323 LOC108813539
LOC103828324 LOC108811138
LOC103828327 LOC108806507
LOC103828328 LOC108811137
LOC103828331 LOC108813431
LOC103828332 LOC108813432
LOC103828337 LOC108811200
LOC103828341 LOC108841428
LOC103828342 LOC108813656
LOC103828344 LOC108808146
LOC103828345 LOC108812678
LOC103828347 LOC108813049
LOC103828348 LOC108837367
LOC103828350 LOC108810901
LOC103828351 LOC108812205
LOC103828352 LOC108807240
LOC103828353 LOC108816586
LOC103828354 LOC108805889
LOC103828356 LOC108805741
LOC103828357 LOC108824218
LOC103828358 LOC108807097
LOC103828359 LOC108809080
LOC103828360 LOC108806634
LOC103828365 LOC108813867
LOC103828366 LOC108806792
LOC103828367 LOC108813710
LOC103828369 LOC108806648
LOC103828370 LOC108833912
LOC103828371 LOC108809331
LOC103828372 LOC108813248
LOC103828373 LOC108805876
LOC103828374 LOC108830900
LOC103828375 LOC108810648
LOC103828376 LOC108810780
LOC103828380 LOC108813047
LOC103828381 LOC108810885
LOC103828385 LOC108806437
LOC103828386 LOC108809408
LOC103828387 LOC108808167
LOC103828388 LOC108807412
LOC103828393 LOC108807045
LOC103828397 LOC108809232
LOC103828400 LOC108809287
LOC103828402 LOC108806673
LOC103828404 LOC108837812
LOC103828405 LOC108810142
LOC103828407 LOC108809118
LOC103828409 LOC108806867
LOC103828410 LOC108806794
LOC103828411 LOC108813373
LOC103828416 LOC108805893
LOC103828421 LOC108808169
LOC103828427 LOC108806827
LOC103828428 LOC108806828
LOC103828429 LOC108807339
LOC103828430 LOC108833010
LOC103828433 LOC108809570
LOC103828434 LOC108805919
LOC103828435 LOC108806071
LOC103828437 LOC108805715
LOC103828438 LOC108809992
LOC103828439 LOC108809919
LOC103828440 LOC108806093
LOC103828443 LOC108813881
LOC103828444 LOC108813880
LOC103828451 LOC108857072
LOC103828454 LOC108810506
LOC103828465 LOC108825533
LOC103828471 LOC108832588
LOC103828472 LOC108805839
LOC103828474 LOC108854549
LOC103828477 LOC108806479
LOC103828479 LOC108807303
LOC103828480 LOC108838326
LOC103828481 LOC108806991
LOC103828482 LOC108806158
LOC103828483 LOC108809106
LOC103828491 LOC108840198
LOC103828496 LOC108860333
LOC103828497 LOC108805434
LOC103828498 LOC108805433
LOC103828503 LOC108862816
LOC103828504 LOC108862814
LOC103828505 LOC108805107
LOC103828506 LOC108862155
LOC103828507 LOC108857213
LOC103828509 LOC108857214
LOC103828510 LOC108856582
LOC103828512 LOC108863028
LOC103828515 LOC108859148
LOC103828518 LOC108860150
LOC103828519 LOC108859460
LOC103828520 LOC108829462
LOC103828521 LOC108862628
LOC103828524 LOC108853613
LOC103828526 LOC108856462
LOC103828528 LOC108859343
LOC103828529 LOC108856967
LOC103828530 LOC108857528
LOC103828531 LOC108805278
LOC103828533 LOC108861165
LOC103828535 LOC108859244
LOC103828536 LOC108856437
LOC103828537 LOC108862013
LOC103828538 LOC108862014
LOC103828540 LOC108841445
LOC103828541 LOC108856980
LOC103828542 LOC108805342
LOC103828543 LOC108834013
LOC103828544 LOC108845146
LOC103828545 LOC108805128
LOC103828546 LOC108858252
LOC103828548 LOC108837475
LOC103828549 LOC108860563
LOC103828550 LOC108862643
LOC103828551 LOC108862641
LOC103828552 LOC108837912
LOC103828555 LOC108856704
LOC103828556 LOC108856518
LOC103828557 LOC108860802
LOC103828559 LOC108862644
LOC103828561 LOC108856784
LOC103828562 LOC108862461
LOC103828565 LOC108857396
LOC103828566 LOC108861080
LOC103828574 LOC108859134
LOC103828575 LOC108862006
LOC103828576 LOC108862004
LOC103828577 LOC108857127
LOC103828579 LOC108859254
LOC103828580 LOC108841473
LOC103828581 LOC108805363
LOC103828582 LOC108805365
LOC103828585 LOC108862607
LOC103828587 LOC108862876
LOC103828588 LOC108857392
LOC103828589 LOC108856621
LOC103828590 LOC108862121
LOC103828592 LOC108857171
LOC103828594 LOC108856205
LOC103828595 LOC108856366
LOC103828596 LOC108863308
LOC103828597 LOC108863307
LOC103828599 LOC108838710
LOC103828602 LOC108857555
LOC103828605 LOC108857258
LOC103828607 LOC108859948
LOC103828608 LOC108863545
LOC103828609 LOC108856805
LOC103828610 LOC108859164
LOC103828611 LOC108837077
LOC103828612 LOC108860568
LOC103828616 LOC108857391
LOC103828617 LOC108857034
LOC103828619 LOC108857035
LOC103828621 LOC108860048
LOC103828623 LOC108857248
LOC103828624 LOC108862759
LOC103828625 LOC108863469
LOC103828626 LOC108857698
LOC103828627 LOC108859747
LOC103828628 LOC108857726
LOC103828629 LOC108861901
LOC103828635 LOC108856900
LOC103828636 LOC108858230
LOC103828637 LOC108805176
LOC103828638 LOC108856801
LOC103828639 LOC108857614
LOC103828641 LOC108863566
LOC103828642 LOC108863565
LOC103828643 LOC108863588
LOC103828645 LOC108856790
LOC103828646 LOC108860499
LOC103828648 LOC108809814
LOC103828649 LOC108860448
LOC103828651 LOC108860752
LOC103828653 LOC108862802
LOC103828654 LOC108857145
LOC103828655 LOC108805313
LOC103828656 LOC108805314
LOC103828657 LOC108837768
LOC103828660 LOC108849109
LOC103828662 LOC108857182
LOC103828664 LOC108811815
LOC103828665 LOC108857362
LOC103828666 LOC108857407
LOC103828667 LOC108857409
LOC103828668 LOC108863262
LOC103828669 LOC108856382
LOC103828670 LOC108861649
LOC103828671 LOC108863585
LOC103828673 LOC108860602
LOC103828674 LOC108811814
LOC103828677 LOC108832818
LOC103828679 LOC108863499
LOC103828682 LOC108863333
LOC103828683 LOC108862843
LOC103828684 LOC108861758
LOC103828685 LOC108860168
LOC103828686 LOC108856463
LOC103828690 LOC108834180
LOC103828695 LOC108862593
LOC103828696 LOC108862595
LOC103828697 LOC108862594
LOC103828698 LOC108812276
LOC103828699 LOC108857772
LOC103828700 LOC108811923
LOC103828701 LOC108862792
LOC103828703 LOC108857140
LOC103828704 LOC108805146
LOC103828705 LOC108859352
LOC103828706 LOC108858670
LOC103828708 LOC108859708
LOC103828709 LOC108832878
LOC103828710 LOC108813763
LOC103828711 LOC108856220
LOC103828712 LOC108856843
LOC103828713 LOC108857279
LOC103828714 LOC108856339
LOC103828715 LOC108805335
LOC103828718 LOC108835276
LOC103828719 LOC108830608
LOC103828720 LOC108859686
LOC103828722 LOC108839237
LOC103828723 LOC108859474
LOC103828724 LOC108857442
LOC103828725 LOC108863101
LOC103828726 LOC108863594
LOC103828727 LOC108857495
LOC103828728 LOC108856279
LOC103828730 LOC108856280
LOC103828731 LOC108861968
LOC103828733 LOC108861973
LOC103828734 LOC108861971
LOC103828735 LOC108861970
LOC103828740 LOC108861969
LOC103828742 LOC108862156
LOC103828743 LOC108862157
LOC103828744 LOC108862822
LOC103828745 LOC108862823
LOC103828746 LOC108862821
LOC103828747 LOC108806862
LOC103828748 LOC108858199
LOC103828749 LOC108858196
LOC103828750 LOC108860822
LOC103828751 LOC108857500
LOC103828752 LOC108859761
LOC103828753 LOC108805331
LOC103828754 LOC108862963
LOC103828755 LOC108856494
LOC103828756 LOC108807372
LOC103828757 LOC108805264
LOC103828758 LOC108859706
LOC103828759 LOC108859473
LOC103828761 LOC108860144
LOC103828764 LOC108829522
LOC103828765 LOC108807371
LOC103828766 LOC108860148
LOC103828767 LOC108860626
LOC103828768 LOC108856880
LOC103828769 LOC108859371
LOC103828770 LOC108860975
LOC103828771 LOC108861221
LOC103828772 LOC108859973
LOC103828774 LOC108857432
LOC103828776 LOC108856751
LOC103828778 LOC108856480
LOC103828779 LOC108857149
LOC103828780 LOC108862853
LOC103828781 LOC108862854
LOC103828782 LOC108862852
LOC103828784 LOC108857433
LOC103828785 LOC108860266
LOC103828786 LOC108856785
LOC103828787 LOC108857709
LOC103828788 LOC108856403
LOC103828796 LOC108860489
LOC103828797 LOC108857524
LOC103828798 LOC108862179
LOC103828799 LOC108862180
LOC103828800 LOC108829311
LOC103828802 LOC108813114
LOC103828805 LOC108859242
LOC103828806 LOC108863228
LOC103828808 LOC108862961
LOC103828809 LOC108862313
LOC103828810 LOC108860033
LOC103828813 LOC108856654
LOC103828814 LOC108859655
LOC103828815 LOC108842864
LOC103828816 LOC108832259
LOC103828817 LOC108860358
LOC103828818 LOC108838802
LOC103828819 LOC108823362
LOC103828820 LOC108823361
LOC103828821 LOC108828036
LOC103828822 LOC108843228
LOC103828824 LOC108832258
LOC103828839 LOC108809942
LOC103828848 LOC108807253
LOC103828853 LOC108862642
LOC103828858 LOC108811845
LOC103828863 LOC108857033
LOC103828875 LOC108811839
LOC103828885 LOC108860624
LOC103828892 LOC108833627
LOC103828900 LOC108844859
LOC103828902 LOC108858101
LOC103828906 LOC108857230
LOC103828908 LOC108859629
LOC103828910 LOC108819131
LOC103828915 LOC108860118
LOC103828916 LOC108856869
LOC103828917 LOC108858388
LOC103828919 LOC108837626
LOC103828921 LOC108805245
LOC103828929 LOC108861134
LOC103828936 LOC108843882
LOC103828937 LOC108844819
LOC103828938 LOC108844048
LOC103828941 LOC108805742
LOC103828942 LOC108862256
LOC103828946 LOC108860818
LOC103828948 LOC108836914
LOC103828949 LOC108859687
LOC103828950 LOC108856446
LOC103828951 LOC108858374
LOC103828952 LOC108857327
LOC103828954 LOC108806482
LOC103828956 LOC108857328
LOC103828957 LOC108860363
LOC103828959 LOC108859317
LOC103828962 LOC108861138
LOC103828963 LOC108809661
LOC103828964 LOC108861139
LOC103828965 LOC108861137
LOC103828970 LOC108813283
LOC103828973 LOC108857846
LOC103828976 LOC108859710
LOC103828977 LOC108807445
LOC103828978 LOC108859354
LOC103828979 LOC108859439
LOC103828980 LOC108860352
LOC103828982 LOC108817735
LOC103828983 LOC108839996
LOC103828984 LOC108860667
LOC103828985 LOC108859724
LOC103828986 LOC108831039
